admissions_20_29_covid_confirmed,average_admissions_20_29_covid_confirmed,percent_change_total_admissions_all_covid_confirmed_past_7days_per_100k,total_admissions_all_influenza_confirmed_past_7days,total_admissions_all_influenza_confirmed_past_7days_per_100k
72.0,62.0,26.70807453,44.0,0.111357946
29.0,33.85714286,-2.233304423,121.0,0.283264373
1.0,0.571428571,-20.0,2.0,0.103390805
118.0,162.2857143,-5.338846772,119.0,0.278582318
7.0,7.142857143,-6.12244898,13.0,0.178602905
3.0,4.714285714,23.53760446,1334.0,6.211082667
4.0,2.857142857,8.681672026,2.0,0.095382122
0.0,0.428571429,9.090909091,4.0,0.069459687
2.0,1.857142857,49.53846154,683.0,10.00120952
109.0,113.4285714,-24.41899468,59.0,0.088180602
3.0,1.714285714,45.83333333,0.0,0.0
5.0,5.571428571,2.58302583,2.0,0.062383849
2.0,1.142857143,-16.34241245,44.0,0.515492965
4.0,5.285714286,25.06963788,9.0,0.130576657
5.0,2.571428571,-23.02771855,0.0,0.0
4.0,4.714285714,-15.66390041,62.0,0.899528081
0.0,0.142857143,-16.55629139,14.0,1.321551388
1.0,2.857142857,8.490566038,15.0,0.504007024
9.0,8.571428571,-2.549162418,29.0,0.07339501
2.0,2.142857143,9.829059829,6.0,0.67822743
0.0,0.428571429,-31.21387283,39.0,0.456914219
5.0,2.428571429,-6.613756614,9.0,0.183554159
10.0,11.14285714,-8.648111332,88.0,0.452359339
4.0,4.571428571,-2.123893805,69.0,1.223484085
39.0,32.0,-4.831246598,41.0,0.190895344
28.0,31.57142857,5.672793283,191.0,0.889292946
3.0,1.142857143,30.76923077,0.0,0.0
5.0,6.285714286,29.32862191,19.0,0.222599235
1.0,0.142857143,-31.57894737,0.0,0.0
2.0,2.571428571,4.307692308,2.0,0.029017035
0.0,0.0,-100.0,0.0,0.0
3.0,4.142857143,-6.734992679,33.0,0.310809883
2.0,1.285714286,-7.692307692,229.0,10.921253
1.0,1.0,18.81188119,6.0,0.67822743
17.0,12.57142857,16.21017328,74.0,0.142977782
0.0,1.0,35.45454545,0.0,0.0
2.0,2.142857143,26.94300518,4.0,0.20678161
3.0,1.857142857,-6.542056075,8.0,0.163159253
1.0,2.0,-24.52830189,4.0,0.190764244
0.0,0.285714286,-28.125,19.0,1.777731203
0.0,0.142857143,100.0,0.0,0.0
0.0,0.142857143,-6.818181818,25.0,4.319587255
11.0,11.14285714,-6.829454407,269.0,0.871824097
8.0,5.857142857,34.88372093,13.0,1.216342402
5.0,2.571428571,5.592841163,7.0,0.13595628
1.0,1.0,-2.0,3.0,0.393668757
53.0,56.28571429,-5.968392737,41.0,0.07921742
2.0,3.0,-21.57894737,9.0,1.017341145
12.0,10.0,8.156498674,10.0,0.067362463
7.0,6.142857143,24.84126984,43.0,0.081839192
1.0,0.428571429,-29.01234568,7.0,0.791265335
7.0,9.285714286,-6.898694842,2.0,0.013936078
5.0,7.857142857,5.136138614,9.0,0.101326362
0.0,0.142857143,0.826446281,26.0,2.93898553
0.0,0.285714286,15.78947368,7.0,0.520751191
8.0,8.857142857,14.17736289,231.0,0.345249477
0.0,0.285714286,-24.41860465,14.0,0.248243148
0.0,0.285714286,39.47368421,32.0,2.380576873
4.0,9.0,-0.275229358,5.0,0.050065801
1.0,2.0,-17.50841751,10.0,0.331366782
0.0,0.142857143,25.0,5.0,0.656114594
19.0,20.57142857,-2.059819413,1306.0,6.71342383
3.0,0.857142857,93.75,3.0,0.410090972
4.0,5.428571429,-4.884318766,0.0,0.0
2.0,1.142857143,16.99115044,13.0,0.111214721
2.0,2.857142857,14.17165669,28.0,0.328040978
3.0,3.428571429,44.36619718,0.0,0.0
22.0,21.42857143,-2.365930599,15.0,0.305923599
8.0,10.85714286,1.857585139,8.0,0.065258433
5.0,4.285714286,2.277904328,7.0,0.115785156
0.0,3.571428571,-8.646616541,0.0,0.0
5.0,4.428571429,-9.046454768,10.0,0.171749478
7.0,8.428571429,-15.32125206,145.0,0.458340775
13.0,12.85714286,5.096333126,4.0,0.034219914
1.0,0.857142857,1.666666667,1.0,0.131222919
24.0,31.14285714,-12.01318155,10.0,0.06968039
173.0,149.7142857,35.17117458,163.0,0.528280029
1.0,2.571428571,65.95744681,15.0,0.379077835
0.0,0.142857143,34.375,4.0,0.223830694
1.0,0.714285714,13.88888889,67.0,1.091662501
13.0,7.285714286,-13.69426752,0.0,0.0
0.0,0.0,-24.65753425,35.0,2.603755955
1.0,1.571428571,-26.61290323,1.0,0.0935648
2.0,0.714285714,25.49019608,43.0,2.050715628
6.0,5.428571429,8.908908909,1105.0,3.810886105
1.0,1.857142857,20.0,10.0,0.194223257
9.0,12.57142857,11.90580026,12.0,0.11441556
38.0,28.14285714,19.58735263,129.0,0.407765241
30.0,27.28571429,12.8515625,417.0,1.055369626
0.0,0.0,-25.0,0.0,0.0
5.0,7.857142857,32.52631579,29.0,0.472510635
